会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
光フードサービス,138A,小売業,グロース（内国株式）,JP,2024-11-30,愛知県,2809344000.0,2.1443741,,26.385912,,0.1863,0.014025246,107.33,,,2566847000.0,217082000.0,0.06944,100327000.0,0.0358,0.080129996,0.5178734835211373,1161221000.0,519436000.0,1502113000.0,749016000.0,1321909000.0,,340892000.0,0.1213422065791871
エムビーエス,1401,建設業,グロース（内国株式）,JP,2025-05-31,山口県,10688993280.0,2.9917176,,21.097279,13.66539218488426,0.1368,0.0,73.09,,54.04999951153794,4713000000.0,626045000.0,0.18268,472287000.0,0.10812,0.14659001,0.7577554803440234,1181763000.0,1169950000.0,3290133000.0,10775000.0,1827413000.0,712307000.0,2606984900.0,0.243894334266061
ウエストホールディングス,1407,建設業,スタンダード（内国株式）,JP,2025-08-31,広島県,66508599296.0,1.9814217,6.340025,12.406599,17.193010869057378,0.48119998,0.03776874,135.17,264.51,147.9699992085784,47250000000.0,8647000000.0,0.023599999,5357000000.0,0.11018,0.16728,0.2438436578568255,112011000000.0,39666000000.0,89170000000.0,94121000000.0,35564000000.0,1722000000.0,-21635600000.0,-0.3253053023069939
ショーボンドホールディングス,1414,建設業,プライム（内国株式）,JP,2025-06-30,東京都,283105755136.0,2.7093844,4.4813066,19.342306,20.06435257881782,0.67120004,0.019996414,72.07,311.07,68.42985474006116,90712000000.0,20794000000.0,0.23368,15061000000.0,0.16753,0.1387,0.8137586620727033,22763000000.0,20538000000.0,100241000000.0,,32523000000.0,10286000000.0,84678200000.0,0.29910448114812
ミライト・ワン,1417,建設業,プライム（内国株式）,JP,2025-03-31,東京都,347016495104.0,1.3189242,17.991266,17.330854,13.30941393022194,0.3545,0.009606148,225.84,217.55,133.33999944685442,578599000000.0,27985000000.0,0.06283,17179000000.0,0.038039997,0.08816,0.4862953960936439,267864000000.0,160983000000.0,321194000000.0,127491000000.0,53475000000.0,19397000000.0,66907900000.0,0.1928089901892066
インターライフホールディングス,1418,建設業,スタンダード（内国株式）,JP,2025-02-28,東京都,8926924800.0,1.9824402,,9.302697,7.743214526691384,0.4789,0.05042017,62.67,,24.82373427926475,16940669000.0,875644000.0,0.04224,705077000.0,0.05312,0.20125,0.4465537708712912,5223472000.0,4049042000.0,6957357000.0,1749188000.0,1513427000.0,536023000.0,2109101100.0,0.2362628953701951
タマホーム,1419,建設業,プライム（内国株式）,JP,2025-05-31,東京都,111894290432.0,4.064745,,46.294075,13.855406473754714,2.3339,0.05025773,83.38,,301.9400024653374,200817000000.0,4113000000.0,0.055809997,1478000000.0,0.01239,0.08319,0.3710212129748001,58028000000.0,44837000000.0,67570000000.0,19049000000.0,31001000000.0,315000000.0,9762500000.0,0.0872475258774068
トライアルホールディングス,141A,小売業,グロース（内国株式）,JP,2025-06-30,福岡県,476196405248.0,3.7025437,27.619995,49.50369,22.848431929108937,0.2035,0.005015674,78.58,140.84,108.7899999402744,803829000000.0,21106000000.0,0.032420002,11752000000.0,0.0089300005,0.079780005,0.4200137869942687,171257000000.0,151064000000.0,143172000000.0,38558000000.0,72325000000.0,5741000000.0,-24066300000.0,-0.0505386007428309
サンヨーホームズ,1420,建設業,スタンダード（内国株式）,JP,2025-03-31,大阪府,8218049024.0,0.5476025,,7.462531,12.306734613165746,0.2602,0.03443526,96.08,,58.30869212387968,45518339000.0,956035000.0,-0.01666,673078000.0,0.010829999,0.0348,0.3030685213634473,35232145000.0,23316348000.0,45291402000.0,18407000000.0,10432054000.0,30140000.0,10080355000.0,1.226611689777138
日本アクア,1429,建設業,プライム（内国株式）,JP,2024-12-31,東京都,28320700416.0,2.4114168,10.706456,13.831629,12.483100258452628,0.5352,0.0,63.55,82.1,63.81999913959351,30265345000.0,2575689000.0,0.110190004,1839630000.0,0.05628,0.17089,0.4381016391725086,13525928000.0,13415988000.0,18819894000.0,4526173000.0,2263300000.0,3380000.0,5296332000.0,0.1870127476440447
