会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
Ｈｍｃｏｍｍ,265A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,4339938304.0,2.5462875,,156.16837,,0.0,0.0,6.89,,,946358000.0,94799000.0,-0.06726,96118000.0,-0.05282,,0.9064888300999412,178149000.0,178149000.0,1835881000.0,0.0,1375076000.0,,1657732000.0,0.3819713285951818
カワチ薬品,2664,小売業,プライム（内国株式）,JP,2025-03-31,栃木県,69906194432.0,0.6017732,,15.128813,12.154297795079144,0.3866,0.025723472,206.89,,210.78999689875272,287816000000.0,7461000000.0,0.02011,4884000000.0,0.0,0.03799,0.5731835010846639,85193000000.0,60858000000.0,90472000000.0,16599000000.0,36674000000.0,154000000.0,5386800000.0,0.0770575489592687
オートウェーブ,2666,小売業,スタンダード（内国株式）,JP,2025-03-31,千葉県,2557789696.0,0.7409578,,8.444657,8.54748204042899,0.1432,0.010928961,20.96,,18.20897115029498,8871344000.0,274464000.0,0.02678,268748000.0,0.01831,0.04,0.5504339884626115,3380847000.0,1682200000.0,1825971000.0,1580000000.0,529690000.0,,-1554876000.0,-0.6078982968895345
イメージ　ワン,2667,卸売業,スタンダード（内国株式）,JP,2025-09-30,東京都,3603203072.0,2.4834955,,,-2.5447037594492063,0.0,0.0,-50.46,,-82.91731374094026,866599000.0,-410384000.0,-0.77457,-559333000.0,-0.54144,-0.54605997,0.5153895593288499,674837000.0,670565000.0,1100148000.0,6160000.0,562690000.0,253804000.0,602973800.0,0.1673438293516197
タビオ,2668,卸売業,スタンダード（内国株式）,JP,2025-02-28,大阪府,8868058112.0,1.7301221,,14.619426,17.39210332295169,0.3355,0.022970904,89.47,,69.05518385422606,16852068000.0,739779000.0,0.07723,520078000.0,0.041350003,0.14494,0.5669039618612942,3690912000.0,2400424000.0,3994799000.0,949358000.0,2065418000.0,387450000.0,575102000.0,0.0648509507647213
カネ美食品,2669,小売業,スタンダード（内国株式）,JP,2025-02-28,愛知県,33609689088.0,1.410916,,23.474178,17.436249430243866,0.2514,0.014064698,151.23,,191.7434360140583,90481370000.0,3077555000.0,0.03662,1948085000.0,0.012150001,0.04168,0.7774637591433501,8324771000.0,7955969000.0,25405516000.0,13064000.0,18925579000.0,594647000.0,17496997900.0,0.5205938636976897
エービーシー・マート,2670,小売業,プライム（内国株式）,JP,2025-02-28,東京都,651231756288.0,1.7028109,14.428352,14.305919,15.23415739239628,0.39139998,0.027267562,183.84,182.28,161.5800003142024,372202000000.0,62560000000.0,0.14355,45358000000.0,0.11993,,0.8772464027703146,48980000000.0,47333000000.0,317500000000.0,2829000000.0,195721000000.0,18252000000.0,281296400000.0,0.4319451520659563
夢みつけ隊,2673,小売業,スタンダード（内国株式）,JP,2025-03-31,東京都,2084040192.0,0.78465426,,23.042507,8.293086365191606,0.0,0.0,8.94,,13.866972431721807,251207000.0,-13296000.0,0.125,90484000.0,0.43831003,0.05284,0.7350935180879642,873602000.0,508590000.0,773254000.0,710479000.0,37207000.0,2200000.0,-98808000.0,-0.0474117535637239
ハードオフコーポレーション,2674,小売業,プライム（内国株式）,JP,2025-03-31,新潟県,28028606464.0,1.4826565,,12.642598,10.707366589519449,0.48880002,0.03905859,159.54,,150.6168168590396,33531023000.0,3218216000.0,0.09972,2314029000.0,0.06395,0.12816,0.7131907919724672,7244625000.0,6040022000.0,13918216000.0,3183749000.0,3009386000.0,3639795000.0,9221447500.0,0.3290012834510358
高千穂交易,2676,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,39227076608.0,2.2889156,,46.08295,22.764839586054187,1.8356,0.02314596,45.57,,79.23176789846903,28098418000.0,2079802000.0,0.05888,1458106000.0,0.050869998,0.0881,0.7175963595020692,6625090000.0,5823908000.0,19206711000.0,39997000.0,6026756000.0,3193046000.0,14816753200.0,0.3777174972294076
アスクル,2678,小売業,プライム（内国株式）,JP,2025-05-31,東京都,121235775488.0,1.9211751,10.803478,,10.898241843198512,0.3984,0.013868613,-16.38,125.33,196.35999921410857,481101000000.0,14004000000.0,-0.05435,9068000000.0,-0.0028400002,-0.01274,0.3414975722401243,146529000000.0,106972000000.0,149752000000.0,36239000000.0,48423000000.0,100000000.0,3293000000.0,0.0271619494059815
ゲオホールディングス,2681,小売業,プライム（内国株式）,JP,2025-03-31,愛知県,66836234240.0,0.6896617,6.247676,13.550572,6.734907732637128,0.2741,0.009982384,123.98,268.9,273.4049235256184,427669000000.0,11250000000.0,0.04738,4537000000.0,0.01203,0.060289998,0.3575969019845178,162338000000.0,46603000000.0,165072000000.0,118048000000.0,60090000000.0,,2734000000.0,0.0409059551467632
魚喜,2683,小売業,スタンダード（内国株式）,JP,2025-02-28,神奈川県,2523701248.0,3.1428392,,113.605446,65.87581186696968,1.1377,0.00998004,8.82,,16.46177233272532,9934090000.0,89187000.0,-0.00816,31226000.0,0.00414,0.05009,0.3786285127495858,1430468000.0,979302000.0,1351200000.0,610289000.0,701809000.0,257776000.0,101175200.0,0.0400900067233314
アンドエスティＨＤ,2685,小売業,プライム（内国株式）,JP,2025-02-28,,137692659712.0,1.684659,9.811655,15.974526,11.11547785973802,0.5348,0.033388983,186.86,304.23,297.7500010962083,293110000000.0,15516000000.0,0.07587,9614000000.0,0.030840002,0.116569996,0.5792439222285662,55909000000.0,47079000000.0,67173000000.0,8959000000.0,21143000000.0,691000000.0,11747700000.0,0.0853182734981782
ジーフット,2686,小売業,スタンダード（内国株式）,JP,2025-02-28,,12515146752.0,-13.036538,,,-7.269987239819004,0.0,0.0,-40.75,,-41.54065062809088,59975000000.0,-776000000.0,-0.035469998,-1060000000.0,-0.036679998,,0.0303784693019344,28822000000.0,27549000000.0,25823000000.0,13151000000.0,1629000000.0,1000000.0,-2998300000.0,-0.2395736989277295
シー・ヴイ・エス・ベイエリア,2687,サービス業,スタンダード（内国株式）,JP,2025-02-28,,2596519680.0,0.61267585,,10.77648,4.777522990205271,0.4711,0.04423077,48.81,,141.32367869451693,7822968000.0,421990000.0,0.04378,1123092000.0,0.02249,0.04208,0.3887178533979223,6886517000.0,2941942000.0,2559255000.0,5291899000.0,1782307000.0,228220000.0,-4167508000.0,-1.605036169030693
オルバヘルスケアホールディングス,2689,卸売業,スタンダード（内国株式）,JP,2024-06-30,岡山県,12530588672.0,1.0315846,,8.756677,7.723581670594485,0.3314,0.03782506,241.53,,234.9029651923754,118564924000.0,2226712000.0,0.01312,1500356000.0,0.00989,0.104169995,0.2630534257149065,31863502000.0,29715079000.0,35586056000.0,1630262000.0,2731386000.0,358472000.0,3973484400.0,0.3171027717858841
リガク・ホールディングス,268A,精密機器,プライム（内国株式）,JP,2024-12-31,東京都,292761796608.0,3.3284328,,26.17748,,0.3798,0.0,49.47,,,90652000000.0,18367000000.0,0.29245,13615000000.0,0.12104,0.134,0.4605484744884453,95778000000.0,29934000000.0,71228000000.0,61600000000.0,27992000000.0,271000000.0,-24360300000.0,-0.0832086026327327
伊藤忠食品,2692,卸売業,プライム（内国株式）,JP,2025-03-31,大阪府,155795243008.0,1.2385049,39.947952,19.011349,13.450477004153573,0.2476,0.013322231,645.93,307.4,520.0899933833958,699369000000.0,8506000000.0,0.02271,8204000000.0,0.01198,0.07042,0.4255959285732698,155959000000.0,145540000000.0,207792000000.0,3606000000.0,1446000000.0,36706000000.0,77527200000.0,0.4976223824498866
ＹＫＴ,2693,卸売業,スタンダード（内国株式）,JP,2024-12-31,東京都,2739653632.0,0.34882295,,,9.651382368858377,0.1906,0.0,-14.42,,26.228019239278904,11930926000.0,-10324000.0,0.0054699997,-1454000.0,-0.00025,-0.00302,0.6887377165224072,3595483000.0,1772512000.0,7593671000.0,2210096000.0,3846657000.0,353010000.0,4245295000.0,1.5495736214292362
焼肉坂井ホールディングス,2694,小売業,スタンダード（内国株式）,JP,2025-03-31,愛知県,17445320704.0,2.620211,,,87.1655472771822,0.38169998,0.006756757,-3.09,,1.0027517278043594,23533041000.0,468649000.0,-0.00254,-613818000.0,-0.0305,-0.10255,0.4063925808072793,9858749000.0,4405845000.0,6432902000.0,6110727000.0,4936257000.0,80554000.0,-3369459200.0,-0.1931440102002495
くら寿司,2695,小売業,プライム（内国株式）,JP,2025-10-31,,142280785920.0,2.1899452,31.695442,39.52744,48.164779992411816,0.22049999,0.0056657223,90.57,112.95,81.10999913811197,245109000000.0,5460000000.0,0.00427,3606000000.0,0.01471,0.04583,0.4164343172130885,69759000000.0,30168000000.0,38000000000.0,40974000000.0,24172000000.0,4340000000.0,-28721000000.0,-0.2018614095662144
キャンドゥ,2698,小売業,スタンダード（内国株式）,JP,2025-02-28,東京都,57346641920.0,5.3601627,,71.42857,-36.682211511775705,0.338,0.004775281,50.19,,-73.00836803631033,83380000000.0,859000000.0,0.00863,-163000000.0,0.0072000003,0.05883,0.3546772875816993,18957000000.0,14285000000.0,15197000000.0,3900000000.0,2033000000.0,,-3760000000.0,-0.0655661757011909
Ｓａｐｅｅｔ,269A,情報・通信業,グロース（内国株式）,JP,2025-09-30,東京都,3851278080.0,6.9643283,,54.050465,,0.0,0.0,45.18,,,996301000.0,55166000.0,0.1466,70543000.0,0.11298,0.27011,0.833664598767291,99420000.0,99420000.0,377622000.0,0.0,213327000.0,,278202000.0,0.0722362795469705
木徳神糧,2700,卸売業,スタンダード（内国株式）,JP,2024-12-31,東京都,18846973952.0,0.922432,,4.0933075,5.727948299621597,0.0462,0.0,562.87,,182.53812971664487,118998507000.0,2377072000.0,0.00137,1723905000.0,0.03133,0.30532,0.3734677619031236,24609792000.0,21993611000.0,30229571000.0,13108329000.0,3650342000.0,4179155000.0,8545187500.0,0.4533983822423229
日本マクドナルドホールディングス,2702,小売業,スタンダード（内国株式）,JP,2024-12-31,東京都,940018827264.0,3.3516195,29.622492,27.700506,25.529616708033814,0.21959999,0.007965861,255.23,238.67,240.3841814708404,,,0.09851,,0.08139,0.12712,0.750663019810498,84050000000.0,76069000000.0,111677000000.0,263000000.0,67327000000.0,12056000000.0,36066200000.0,0.0383675294089306
大戸屋ホールディングス,2705,小売業,スタンダード（内国株式）,JP,2025-03-31,神奈川県,49356800000.0,13.071191,,45.24887,29.08475540676336,0.0664,0.00147929,150.28,,179.14000276759805,31385000000.0,1661000000.0,0.0519,1224000000.0,0.033970002,0.29885998,0.377210712481051,7155000000.0,4760000000.0,6307000000.0,1600000000.0,4239000000.0,20000000.0,-834000000.0,-0.0168973677385892
久世,2708,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,10640435200.0,1.1459811,,6.779661,5.302801697701382,0.0442,0.006637168,339.25,,434.04016168428336,68568000000.0,1852000000.0,0.040999997,1754000000.0,0.0214,0.18271999,0.3446819626453045,15052000000.0,13411000000.0,15871000000.0,1783000000.0,4009000000.0,3036000000.0,2944200000.0,0.2766992086940203
ジェイホールディングス,2721,卸売業,スタンダード（内国株式）,JP,2024-12-31,東京都,1536155520.0,46.548958,,,-4.75309264956113,0.0,0.0,-34.24,,-44.81292827726955,179573000.0,-267143000.0,-2.02222,-387700000.0,-1.73248,-8.24242,-0.1330330028357098,281689000.0,125858000.0,185120000.0,70000000.0,53890000.0,,-96569000.0,-0.0628640777204641
ＩＫホールディングス,2722,小売業,スタンダード（内国株式）,JP,2025-05-31,愛知県,2888689408.0,1.2101743,8.358862,12.035287,14.007953203172017,0.25190002,0.020618556,31.74,45.7,29.789998543333493,15211383000.0,425614000.0,0.01408,321372000.0,0.01559,0.10451,0.3929572157314464,3688999000.0,2392083000.0,5217025000.0,1674170000.0,474101000.0,24428000.0,1545125600.0,0.5348881038303721
パルグループホールディングス,2726,小売業,プライム（内国株式）,JP,2025-02-28,,286689984512.0,3.5991454,8.499356,22.728525,14.750504175544942,0.4132,0.018039687,72.64,194.25,73.65000008543285,207825000000.0,23663000000.0,0.12561,11848000000.0,0.0729,0.22775999,0.4792231408310743,74578000000.0,50586000000.0,114287000000.0,14195000000.0,85715000000.0,267000000.0,39895900000.0,0.1391604246932807
エディオン,2730,小売業,プライム（内国株式）,JP,2025-03-31,,238549778432.0,1.0356491,18.164251,17.856579,17.100693404035034,0.3719,0.020787261,126.34,124.2,85.85173904303262,768129000000.0,23395000000.0,0.020680001,14118000000.0,0.0,0.06372,0.5117333210680036,211886000000.0,144220000000.0,191173000000.0,81774000000.0,8834000000.0,5401000000.0,-16932300000.0,-0.0709801539590473
あらた,2733,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,102106808320.0,0.8356194,8.315159,10.626807,10.268597053619118,0.3726,0.03519737,287.01,366.8,298.1899965431685,986212000000.0,14989000000.0,0.014989999,10358000000.0,0.008719999,0.07383,0.3738002361032695,195172000000.0,158961000000.0,233705000000.0,36033000000.0,23430000000.0,12659000000.0,47394300000.0,0.4641639551739541
サーラコーポレーション,2734,小売業,プライム（内国株式）,JP,2024-11-30,愛知県,75262509056.0,0.82060987,,15.060396,7.060614870324561,0.42430001,0.027210884,77.82,,95.45196804226168,240498000000.0,6309000000.0,0.01998,5249000000.0,0.023340002,0.06723,0.4151848171602869,116664000000.0,62943000000.0,89235000000.0,55639000000.0,26396000000.0,10374000000.0,-20167200000.0,-0.2679581142450931
ワッツ,2735,小売業,スタンダード（内国株式）,JP,2025-08-31,大阪府,8918938624.0,0.6823458,12.669172,10.215217,10.21486751905607,0.22729999,0.022156574,65.98,53.2,68.45000205164979,61578772000.0,1419444000.0,0.017719999,870678000.0,0.014099999,0.06847,0.4736306448822206,14480821000.0,11021156000.0,21185526000.0,3335454000.0,6187421000.0,360046000.0,6956737200.0,0.7799960839824701
フェスタリアホールディングス,2736,小売業,スタンダード（内国株式）,JP,2025-08-31,東京都,2189360640.0,1.3989525,,13.0203905,13.0962091547831,0.1487,0.011363637,47.08,,37.35999606657695,9403118000.0,289453000.0,-0.0653,176413000.0,0.01791,0.113170005,0.2314863510944203,5525099000.0,4238819000.0,5662730000.0,3329361000.0,1143341000.0,92276000.0,202224200.0,0.0923667833911547
トーメンデバイス,2737,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,84738940928.0,1.517803,,13.351192,20.25232746465832,0.3216,0.024077047,933.25,,308.1894282792031,421671000000.0,10169000000.0,0.0346,5588000000.0,0.01608,0.15467,0.4353777309818373,64350000000.0,63566000000.0,112703000000.0,14054000000.0,5801000000.0,231000000.0,48514700000.0,0.5725195461343021
ハローズ,2742,小売業,プライム（内国株式）,JP,2025-02-28,岡山県,104465571840.0,1.3911862,13.574597,11.6686535,10.740043944119568,0.1574,0.013428281,419.5,360.6,400.4900069140364,210751000000.0,12278000000.0,0.05506,8913000000.0,0.042069998,0.1311,0.6239534327406108,42444000000.0,25599000000.0,23040000000.0,11127000000.0,13851000000.0,2000000.0,-19402600000.0,-0.1857320039344361
北雄ラッキー,2747,小売業,スタンダード（内国株式）,JP,2025-02-28,北海道,4101404160.0,1.0354315,,28.168404,13.92197447892751,0.4343,0.012326657,115.2,,242.57169192548548,37157080000.0,243149000.0,0.00708,142453000.0,0.00557,0.060549997,0.3144669451836701,12459941000.0,6489503000.0,5111033000.0,7513689000.0,1637920000.0,280686000.0,-7152427800.0,-1.7438973388079853
ＪＰホールディングス,2749,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,64269918208.0,2.963226,9.652956,17.095379,15.224954807274726,0.2733,0.016260162,43.93,77.8,34.384093974803385,41147032000.0,5809002000.0,0.19143,3920895000.0,0.09157,,0.5185329297062751,18114004000.0,11175916000.0,26862421000.0,8761017000.0,20743470000.0,546995000.0,9131313500.0,0.1420775652840862
ガーデン,274A,小売業,スタンダード（内国株式）,JP,2025-02-28,東京都,16429267968.0,2.1687875,,15.698783,,0.8226,0.051845707,152.05,,,17159077000.0,1849976000.0,0.05448,1207252000.0,0.05474,,0.501258345087614,7913668000.0,4090268000.0,11661009000.0,5713996000.0,10660027000.0,172800000.0,3868301000.0,0.2354518173015656
石光商事,2750,卸売業,スタンダード（内国株式）,JP,2025-03-31,兵庫県,10882652160.0,0.81788456,,9.569378,7.923626617912243,0.2051,0.02189781,146.3,,135.6164017168043,64953996000.0,1557462000.0,0.04322,888108000.0,0.020179998,0.12267,0.3118037311307849,25330197000.0,21285154000.0,29996945000.0,12374784000.0,4149631000.0,1241387000.0,5535718900.0,0.5086736963207321
テンポスホールディングス,2751,卸売業,スタンダード（内国株式）,JP,2025-04-30,東京都,46175518720.0,2.7322795,,25.510544,20.98261096808443,0.0598,0.002352941,150.33,,162.1000005754057,47055000000.0,2669000000.0,0.0579,2064000000.0,0.03711,0.11457,0.612037072352111,8998000000.0,6895000000.0,17941000000.0,1956000000.0,9617000000.0,1161000000.0,9755700000.0,0.2112742914520744
フジオフードグループ本社,2752,小売業,プライム（内国株式）,JP,2024-12-31,大阪府,54907453440.0,6.3682904,46.76856,626.3158,-89.37291299092409,1.7045,0.0018621974,1.71,22.9,-15.709999986871246,31324000000.0,1217000000.0,0.041739997,459000000.0,0.0014200001,0.00856,0.3258076776890916,17732000000.0,6557000000.0,15328000000.0,10710000000.0,12738000000.0,343000000.0,-2163900000.0,-0.0394099500965674
あみやき亭,2753,小売業,プライム（内国株式）,JP,2025-03-31,愛知県,28784623616.0,1.3035336,14.920128,19.763014,26.43764107716852,0.4795,0.024113474,70.89,93.9,63.6165848388001,35332000000.0,2638000000.0,0.044850003,1736000000.0,0.0,0.063260004,0.7888888888888889,5871000000.0,4411000000.0,12319000000.0,1311000000.0,9483000000.0,,6448000000.0,0.2240084875181714
東京エレクトロン　デバイス,2760,卸売業,プライム（内国株式）,JP,2025-03-31,,108693520384.0,2.2103856,10.800935,15.408031,19.57044878579034,0.42540002,0.026631854,239.81,342.1,333.4600031656327,216379000000.0,12460000000.0,0.054390002,8874000000.0,0.04144,,0.3051370496235041,107840000000.0,74605000000.0,144186000000.0,42560000000.0,8384000000.0,,36346000000.0,0.3343897582081648
ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,2762,小売業,スタンダード（内国株式）,JP,2025-06-30,東京都,3975824896.0,7.6016726,,,-5.2810364092827005,0.0,0.0,-27.16,,-28.59287236395131,9679000000.0,-666000000.0,-0.07117,-816000000.0,-0.088599995,-2.08685,0.1300411522633744,2111000000.0,1190000000.0,1365000000.0,498000000.0,628000000.0,,-746000000.0,-0.1876340179746185
エフティグループ,2763,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,36656099328.0,1.0954869,,6.891733,6.624347549531161,0.3074,0.028317152,178.91,,174.02649892672682,34625000000.0,9282000000.0,0.22601,6613000000.0,0.16826999,0.17684,0.7351694915254238,10750000000.0,7020000000.0,27587000000.0,3643000000.0,19817000000.0,11368000000.0,24794600000.0,0.676411305472988
ひらまつ,2764,小売業,スタンダード（内国株式）,JP,2025-03-31,東京都,10526464000.0,1.6566783,,,-131.89298299239752,0.0,0.0,-2.47,,-2.168424684249392,10662788000.0,249770000.0,0.15647,1530727000.0,-0.00377,-0.0058099995,0.4855184542607795,6246873000.0,4143752000.0,9423644000.0,3827500000.0,6645161000.0,56371000.0,3216230700.0,0.3055376145303874
円谷フィールズホールディングス,2767,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,101249581056.0,1.6311677,6.0595903,5.6818576,9.52463805594864,0.17459999,0.027427318,286.35,268.5,178.30546777414156,140581000000.0,15266000000.0,0.08416,11158000000.0,0.0,0.31019,0.5189332309278142,42706000000.0,26770000000.0,69841000000.0,11140000000.0,30954000000.0,7831000000.0,32616700000.0,0.3221415798447608
双日,2768,卸売業,プライム（内国株式）,JP,2025-03-31,,1326190952448.0,1.2546351,12.057583,12.106593,8.262884978110172,0.29930001,0.024119448,526.49,528.63,450.96999925492497,2509714000000.0,75736000000.0,0.02614,110636000000.0,0.04397,0.11336,0.3138571130571783,2079637000000.0,985578000000.0,1575122000000.0,1189051000000.0,192299000000.0,,-504515000000.0,-0.3804241003670865
ヴィレッジヴァンガードコーポレーション,2769,小売業,スタンダード（内国株式）,JP,2025-05-31,愛知県,7606544896.0,3.8436239,,,-7.329876963286712,0.0,0.0,-556.97,,-145.8414657373268,24962000000.0,-936000000.0,-0.00156,-4247000000.0,-0.1438,-0.92866,0.1075923903672624,15527000000.0,7796000000.0,15261000000.0,9513000000.0,2086000000.0,,-266000000.0,-0.0349698849657588
ククレブ・アドバイザーズ,276A,不動産業,グロース（内国株式）,JP,2025-08-31,東京都,19692437504.0,4.34248,,38.31585,,0.1943,0.0,102.96,,,2555046000.0,612998000.0,0.33308,445709000.0,0.14825,,0.5526587709322761,1696207000.0,1650270000.0,3217408000.0,1450000000.0,1639195000.0,37023000.0,1547117100.0,0.0785640223403397
新都ホールディングス,2776,卸売業,スタンダード（内国株式）,JP,2025-01-31,東京都,6878189568.0,2.4544313,,,-5.748923152661857,0.0,0.0,-2.44,,-12.350138993791504,12296801000.0,42893000.0,0.046090003,16543000.0,0.00261,0.08528,0.2403286017049089,4372607000.0,2500536000.0,3648026000.0,2797287000.0,203615000.0,3979000.0,-721795700.0,-0.1049397799906639
パレモ・ホールディングス,2778,小売業,スタンダード（内国株式）,JP,2025-02-28,愛知県,1818389248.0,1.1508621,,,6.417489502762432,0.0,0.0,-3.41,,28.35999964186267,15040684000.0,214926000.0,-0.01952,-47631000.0,-0.00486,-0.042540003,0.2261286738077393,5408483000.0,3271197000.0,4435669000.0,1928571000.0,2044249000.0,4800000.0,-969454000.0,-0.5331388761049252
グロービング,277A,サービス業,グロース（内国株式）,JP,2025-05-31,東京都,53983543296.0,8.512675,,31.748415,,0.0,0.0,59.94,,,8255896000.0,2800521000.0,0.37669998,1768207000.0,0.24431999,,0.6560514973682398,2897768000.0,2780315000.0,7831578000.0,,6612190000.0,,4933810000.0,0.0913947047333882
コメ兵ホールディングス,2780,小売業,スタンダード（内国株式）,JP,2025-03-31,愛知県,37257011200.0,1.1500496,6.809964,10.638298,7.990863717460391,0.32950002,0.030567685,318.66,497.8,458.64998466638434,158994692000.0,6176646000.0,0.0177,4777112000.0,0.018860001,0.1099,0.3698099153962561,55426515000.0,43005893000.0,68457419000.0,47395363000.0,15535605000.0,,13030904000.0,0.3497570948471572
セリア,2782,小売業,スタンダード（内国株式）,JP,2025-03-31,岐阜県,266040868864.0,3.3440366,29.573639,26.45519,22.11615252616781,0.4362,0.0,160.46,143.54,130.5599995236414,236327000000.0,16845000000.0,0.08178,11218000000.0,0.048699997,0.12371001,0.7632795273364618,33495000000.0,25052000000.0,97898000000.0,1428000000.0,59154000000.0,406000000.0,64687200000.0,0.2431476046376471
アルフレッサ　ホールディングス,2784,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,464745463808.0,0.936001,15.927632,18.867577,13.619303868361024,0.4866,0.026009852,135.55,160.57,154.130000390357,2961051000000.0,38081000000.0,0.01617,27389000000.0,0.010989999,0.06875,0.3346010271653639,957639000000.0,894961000000.0,1094496000000.0,35545000000.0,177085000000.0,115315000000.0,217577500000.0,0.4681648707600676
アップルインターナショナル,2788,卸売業,スタンダード（内国株式）,JP,2024-12-31,三重県,4494393344.0,0.46214873,,7.1986837,4.963018197341334,0.2057,0.0,48.62,,77.82000006022807,43795649000.0,1374723000.0,0.022780001,1198508000.0,0.01307,0.055549998,0.4851637856773907,9580880000.0,7714847000.0,17454791000.0,7910241000.0,4381074000.0,1267002000.0,8760812400.0,1.949275848696166
カルラ,2789,小売業,スタンダード（内国株式）,JP,2025-02-28,宮城県,2818770176.0,1.2754604,,8.794964,6.710766049066708,0.089899994,0.010224949,55.6,,73.00434346809222,7263713000.0,365961000.0,0.01387,363309000.0,0.03945,0.14207,0.393693837231534,3044336000.0,1244568000.0,1445488000.0,2176420000.0,1006201000.0,283000.0,-1598649900.0,-0.5671444637847622
Ｔｅｒｒａ　Ｄｒｏｎｅ,278A,精密機器,グロース（内国株式）,JP,2025-01-31,東京都,25635819520.0,3.826999,,,,0.0,0.0,-61.2,,,4435568000.0,-627160000.0,-0.18225999,-474800000.0,-0.15303999,,0.7584285465064068,1785683000.0,1175228000.0,6185537000.0,770316000.0,4145633000.0,1243062000.0,5269997400.0,0.205571637602167
ナフコ,2790,小売業,スタンダード（内国株式）,JP,2025-03-31,福岡県,55261855744.0,0.35864177,,82.64706,22.461663137675508,2.141,0.0,27.2,,110.32000114758368,181850000000.0,1267000000.0,0.02585,183000000.0,0.00319,0.00357,0.6836519460911654,71240000000.0,55703000000.0,90228000000.0,27651000000.0,18500000000.0,405000000.0,19271500000.0,0.348730597996474
大黒天物産,2791,小売業,プライム（内国株式）,JP,2025-05-31,岡山県,75775500288.0,1.2782115,8.206722,14.084507,17.49530109418532,0.0872,0.006989247,401.15,688.46,452.6400088546894,292940000000.0,9815000000.0,0.01623,6774000000.0,0.01814,0.09483,0.5235689801809231,55341000000.0,46190000000.0,25200000000.0,15032000000.0,8488000000.0,442000000.0,-29831600000.0,-0.3936839728753887
ハニーズホールディングス,2792,小売業,プライム（内国株式）,JP,2025-05-31,福島県,42290647040.0,0.87605417,6.6042666,12.360466,8.967637180522782,0.44799998,0.036112934,122.73,229.7,175.01951105005318,57701337000.0,5906120000.0,0.10183,3732755000.0,0.05989,0.07364,0.8435662032233444,8290610000.0,5218529000.0,30789275000.0,,13355934000.0,966468000.0,23175192600.0,0.5479980615590979
日本プリメックス,2795,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,4712411648.0,0.5771372,,12.284249,8.175060467790907,0.33720002,0.026766594,74.16,,95.85385784872672,7093981000.0,549884000.0,0.07679,408822000.0,0.04918,0.041479997,0.7606229060880964,2481827000.0,1827205000.0,7576357000.0,,5169260000.0,1283670000.0,5993099000.0,1.271768989566847
ファーマライズホールディングス,2796,小売業,スタンダード（内国株式）,JP,2025-05-31,東京都,6096338432.0,0.8946778,,,-18.37197105342193,0.5287,0.026974952,-13.04,,-33.35228046930364,63508000000.0,294000000.0,0.0162,-367000000.0,-0.00215,-0.02187,0.2151046234807668,25008000000.0,11988000000.0,13239000000.0,14279000000.0,4911000000.0,339000000.0,-11531700000.0,-1.891578056013016
ワイズテーブルコーポレーション,2798,小売業,スタンダード（内国株式）,JP,2025-02-28,,9927184384.0,11.989357,,32.78867,84.67969316685107,0.0,0.0,91.8,,34.53012039425571,12120830000.0,118971000.0,0.01269,260650000.0,0.023729999,0.45185003,0.1405800961541451,4146310000.0,1738535000.0,2619594000.0,1705126000.0,1533299000.0,208355000.0,-1380867500.0,-0.139099612396199
キッコーマン,2801,食料品,プライム（内国株式）,JP,2025-03-31,千葉県,1381910839296.0,2.5340247,23.199005,24.095022,31.938907251590365,0.3721,0.008692745,61.88,64.27,59.19411844906606,708979000000.0,73699000000.0,0.10880999,61695000000.0,0.08186,0.1104,0.7484964984530786,163365000000.0,88051000000.0,334849000000.0,59013000000.0,106184000000.0,75129000000.0,224074300000.0,0.1621481600898016
味の素,2802,食料品,プライム（内国株式）,JP,2025-03-31,東京都,4263960379392.0,5.749748,19.109982,117.63458,66.00518857095574,1.1704,0.01010101,37.71,232.13,41.85024777444935,1530556000000.0,107656000000.0,0.12899,70272000000.0,0.05026,0.10297,0.4339030556070398,907858000000.0,384588000000.0,701298000000.0,455353000000.0,164776000000.0,45823000000.0,-174483900000.0,-0.0409206194417969
